//(x,y,z,usr)
(,,)
(-1.4256802E-5,451.14618,-299.38553)
(8.569925E-7,406.9894,-140.07088)
(1.8854915E-6,453.6625,-295.55832)
(1.8673482E-7,399.71704,-161.65582)
(1.2577365E-5,474.07123,-300.85208)
(1.1764281E-6,393.16635,-176.99329)
(1.43784555E-5,473.04526,-302.4626)
(2.1623812E-6,387.80426,-173.71771)
(2.2395034E-6,480.39,-292.22012)
(-2.3990476E-6,399.3701,-184.32906)
(-3.4983237E-5,475.05197,-300.82)
(1.8229613E-6,404.42728,-172.95157)
(-1.253822E-5,468.39346,-308.48062)
(-8.682383E-7,383.29617,-168.37148)
(1.4015823E-5,479.39703,-291.08615)
(-2.5951897E-7,395.9011,-152.78568)
(2.7004717E-7,480.29227,-285.77112)
(-2.8150318E-6,402.83365,-133.43987)
(2.7621354E-6,465.9715,-308.57144)
(-1.5557596E-5,330.96634,-308.59616)
(1.35964365E-5,359.21405,-275.20093)
(-2.268853E-6,400.78677,-139.75822)
(-9.4018003E-7,380.54,-188.02058)
(-3.3662488E-6,187.16934,-276.3766)
(-2.2458028E-6,506.14227,-115.817726)
(1.0587132E-5,553.9368,-225.08638)
(-1.2458213E-6,171.37901,-286.4361)
(8.328635E-7,552.25757,-229.17581)
(3.1999662E-6,176.97865,-266.71964)
(-4.4873636E-6,545.09875,-243.45726)
(-9.845826E-7,167.81067,-272.58093)
(-1.0278897E-5,530.0127,-261.42657)
(3.9697625E-7,163.81526,-272.68207)
(-5.354396E-6,523.3545,-274.5131)
(-2.5828012E-6,180.59906,-261.86823)
(-5.7507573E-6,530.509,-271.95596)
(5.3593794E-7,163.10728,-272.89368)
(-3.2779951E-6,532.7454,-281.13327)
(-3.1491618E-6,137.80951,-286.5022)
(3.2676483E-6,542.99146,-260.79474)
(-2.5947518E-6,126.038864,-290.62286)
(-2.818357E-6,541.25543,-241.91571)
(5.1435563E-6,129.37813,-289.1518)
(5.0852423E-6,545.3252,-232.59601)
(-3.1176476E-6,160.13136,-273.2008)
(3.725301E-6,537.6863,-273.01224)
(-3.639343E-7,175.09187,-263.8628)
(3.931412E-6,544.9771,-263.34363)
(-8.725965E-7,163.10846,-273.4911)
(3.9206425E-6,547.6412,-257.758)
(4.820285E-6,171.6394,-268.21942)
(-3.0634749E-6,550.0338,-246.11629)
(1.2180317E-6,167.33484,-273.15463)
(-2.6732994E-6,543.8764,-231.93658)
(-2.8036993E-6,165.35152,-274.35968)
(-1.8956177E-6,554.97546,-203.95657)
(-3.376799E-6,199.35478,-262.14822)
(1.2539556E-6,554.97656,-194.62851)
(-1.0085977E-6,214.23555,-250.13422)
(-4.332752E-6,535.56775,-171.30002)
(-3.925561E-7,249.72652,-251.7204)
(2.7229923E-6,539.77856,-157.52939)
(5.3422445E-6,250.29262,-251.15756)
(-4.866672E-7,510.6312,-167.28484)
(1.9335566E-5,343.8692,-212.01439)
(-1.2140157E-6,516.83514,-147.00302)
(-9.626383E-6,348.97015,-203.50922)
(2.5192207E-7,493.0345,-172.37161)
(9.29238E-6,454.45935,-164.55193)
(-1.7211769E-6,468.5953,-150.04802)
(8.848547E-6,453.7992,-166.36388)
(1.4473171E-7,475.90808,-124.929985)
(2.9802322E-6,527.91077,-210.48543)
(4.7127473E-6,426.9909,-167.77689)
(6.4563937E-6,546.47186,-156.08452)
(2.4917313E-9,419.21707,-178.27448)
(-1.4741199E-5,504.67468,-191.54774)
(-2.2934162E-6,415.70145,-186.3252)
(9.1185933E-7,502.40347,-197.42807)
(-4.2529473E-6,420.2933,-181.95122)
(3.4370896E-6,414.6344,-256.63138)
(3.5744608E-6,428.86755,-176.25238)
(2.6862836E-6,430.40042,-229.20921)
(1.6366226E-6,408.81696,-218.77129)
(1.5366495E-5,440.169,-235.609)
(-1.3585009E-6,433.73822,-120.617744)
(-1.3883982E-6,433.19968,-248.19037)
(5.2863403E-8,420.83875,-159.91312)
(-1.669745E-5,416.07336,-384.6087)
(2.7504059E-6,290.33356,-144.64407)
(1.4308607E-5,418.25366,-382.23657)
(-2.6640723E-6,293.36456,-134.52989)
(-1.0245931E-5,415.97946,-385.3284)
(1.3075925E-6,287.87753,-145.9025)
(8.721836E-6,402.65787,-399.22864)
(-2.4928568E-7,290.59814,-137.12878)
(6.7001383E-6,434.6895,-361.38608)
(9.3371966E-7,322.05014,-87.069496)
(1.4071702E-7,406.83496,-392.4794)
(-3.4316142E-6,300.50034,-144.90341)
(-7.737835E-6,378.42346,-366.95804)
(-3.050963E-6,321.0044,-117.86838)
(-5.6851422E-6,384.38007,-360.71384)
(-2.4467238E-6,562.5874,-161.63702)
(-5.436959E-7,232.35905,-249.06078)
(3.0007766E-6,548.3772,-204.72821)
(-6.612663E-7,247.52689,-233.99246)
(2.0550413E-6,560.139,-260.30984)
(1.6565353E-6,146.88498,-291.8306)
(4.5990037E-6,552.8564,-275.4392)
(-1.2492818E-7,171.40634,-278.13696)
(6.918012E-6,538.1311,-277.51276)
(-3.7405695E-7,156.43668,-283.98273)
(-1.891304E-6,525.045,-293.18185)
(-3.2286332E-6,154.33835,-285.12866)
(-2.8098275E-6,539.05524,-266.54712)
(1.8703759E-6,116.98914,-300.07224)
(-4.3750415E-6,563.1858,-234.6794)
(1.3134194E-6,149.3083,-285.3715)
(-2.6442676E-6,577.6446,-229.70598)
(1.1393968E-6,160.07263,-279.17767)
(-1.3152008E-6,571.2494,-245.17812)
(3.989662E-6,160.53532,-278.91177)
(5.522897E-6,563.3023,-234.28844)
(-5.609945E-7,148.01091,-288.62164)
(2.1427513E-6,569.13086,-205.08443)
(1.1311022E-6,163.30295,-280.25317)
(4.518779E-6,565.7281,-214.29283)
(8.008283E-7,181.44356,-277.09058)
(-9.1586344E-7,542.8733,-221.92966)
(5.829877E-6,199.38571,-264.47357)
(-4.051488E-6,545.5903,-160.9357)
(-6.034679E-7,188.63185,-286.9676)
(4.6412256E-6,552.1368,-136.79935)
(7.376766E-6,201.24763,-278.2657)
(7.5146005E-7,505.4978,-102.9074)
(-9.002688E-6,340.7342,-259.61386)
(-1.3336754E-6,508.10498,-89.148186)
(4.980684E-6,438.57898,-371.26056)
(2.3297927E-7,441.02786,-87.32957)
(-9.454343E-6,446.8236,-361.29575)
(-1.2141176E-6,387.37018,-129.31181)
(1.4280886E-5,440.79053,-368.6321)
(-7.2424535E-7,380.62534,-147.99182)
(7.278868E-7,459.83487,-376.22043)
(4.871516E-6,366.2093,-172.11026)
(1.3129756E-5,470.23172,-363.14194)
(-4.6982763E-7,371.50482,-168.80606)
(7.210619E-6,450.70248,-377.7642)
(-9.742548E-7,371.09744,-169.6996)
(1.7332785E-6,453.2009,-376.41318)
(-2.702194E-9,374.36346,-159.51404)
(-1.8174615E-5,447.1241,-383.6114)
(1.788093E-6,372.8901,-160.89034)
(-8.716451E-6,457.4837,-371.19592)
(-3.441272E-6,370.08917,-167.23259)
(2.2814711E-5,456.79398,-374.4147)
(-1.0517468E-6,373.34305,-157.18639)
(5.439506E-7,455.20798,-377.80127)
(3.8891044E-6,366.42828,-172.69313)
(6.1040914E-6,453.55212,-379.78754)
(1.3153507E-6,368.12238,-163.29533)
(-2.2225545E-6,373.65018,-178.05568)
(5.4009065E-6,418.38217,-421.61472)
(2.6267662E-6,436.40857,-402.92703)
(-1.2485392E-6,381.1454,-161.38925)
(1.3445097E-5,424.3755,-446.19223)
(5.2385694E-6,370.19345,-157.90538)
(-5.2356336E-6,443.3637,-427.3297)
(9.650807E-7,345.63358,-184.79013)
(-6.8549707E-6,469.6418,-398.26938)
(3.9598817E-6,387.36682,-59.63955)
(-1.1855409E-5,384.40192,-423.55182)
(5.5055325E-6,300.03137,283.9394)
(4.337271E-6,480.46863,-310.34)
(8.2951254E-7,437.9761,223.58635)
(-1.7700368E-5,311.04865,-313.30396)
(-1.1424254E-6,326.08508,368.07938)
(5.8820115E-6,369.20914,-207.53482)
(-5.3748896E-5,780.12366,-40.988796)
(-3.1061788E-6,140.658,-399.50143)
(2.1946134E-5,494.0901,151.54189)
(-3.2094977E-6,277.83377,-294.05917)
(2.6151882E-5,501.90515,123.21182)
(5.989923E-6,249.55103,-318.41272)
(2.9887073E-5,446.47385,-54.333755)
(-2.871093E-7,224.74747,-243.72557)
(7.83351E-6,437.55176,104.1132)
(-6.1526953E-6,123.618706,-307.6231)
(4.772327E-6,330.22845,40.94724)
(1.3606767E-6,147.21187,-297.05597)
(9.210447E-6,271.72983,36.394226)
(5.220936E-6,206.16426,-274.59326)
(-1.7515142E-6,271.06064,41.08226)
(3.760215E-7,249.81258,-242.59242)
(-1.9421439E-6,243.26793,48.50655)
(-3.4162804E-6,229.83517,-261.59735)
(-7.2203475E-6,253.6478,56.768677)
(1.0198273E-5,246.3584,-249.76)
(-1.6902186E-6,258.2614,29.341532)
(-1.8728277E-5,246.70232,-249.42038)
(-3.8057924E-6,228.22166,21.21041)
(-1.3429598E-6,297.78223,-185.4677)
(4.81183E-6,227.32791,9.869247)
(-4.723024E-6,227.01718,-259.7286)
(-7.749866E-6,227.51956,3.2007337)
(-4.4870828E-7,212.91046,-272.6552)
(-7.5385697E-6,218.1497,26.712252)
(4.0688788E-6,214.85368,-271.12665)
(2.6633234E-6,218.93634,19.228085)
(8.924217E-6,209.90384,-274.9766)
(-8.7275475E-6,229.26735,26.924139)
(-1.3179197E-5,241.34431,-265.4928)
(-1.3972454E-5,228.27892,38.085114)
(-9.187643E-6,235.31456,-256.02563)
(-8.6948E-6,231.10086,12.415024)
(3.735913E-6,250.8765,-240.79666)
(7.5116586E-6,237.6883,-70.889244)
(-1.8819519E-5,182.44383,-292.4208)
(-6.1227765E-6,301.8884,49.423595)
(1.3306217E-5,261.49722,-224.53255)
(1.2268572E-5,288.75595,100.99164)
(-1.6329068E-5,164.39653,-324.0839)
(-2.3114476E-6,281.34146,57.415257)
(-4.2314055E-6,178.23814,-316.68243)
(-1.5234968E-5,241.40848,68.6609)
(8.206516E-6,273.8516,-231.5001)
(1.2817395E-6,237.48163,81.208595)
(7.9305755E-6,273.87204,-231.47585)
(-7.260178E-7,225.29973,9.853787)
(1.2129058E-5,160.3442,-316.78622)
(6.8816917E-7,207.39374,88.571434)
(3.1659147E-6,192.61147,-298.26932)
(4.562408E-6,214.181,-3.6964014)
(-3.502282E-6,162.19237,-340.3984)
(-1.7534524E-6,162.43146,20.225311)
(8.8781235E-6,185.52307,-328.26614)
(3.4518182E-6,163.43759,9.010559)
(3.8470425E-5,285.84976,-268.98486)
(-1.9229194E-6,193.28156,51.153954)
(7.957897E-7,295.7966,-258.00647)
(-2.1404331E-7,430.02768,-25.191944)
(4.813446E-6,268.7781,-275.2564)
(-6.879089E-6,429.83484,-28.291197)
(-1.5530095E-5,265.548,-278.37396)
(6.022691E-6,407.23798,-13.884968)
(-1.68929E-5,273.41272,-260.3526)
(4.970908E-6,395.473,-4.493361)
(-1.8606606E-5,293.7786,-237.1332)
(-2.1883563E-6,395.2104,-15.091663)
(1.524364E-5,267.60526,-261.98126)
(3.8020823E-6,380.27194,-68.601326)
(-1.8957508E-5,279.45895,-249.29797)
(1.3255475E-6,406.6001,-68.649185)
(2.5369627E-6,260.71863,-268.89493)
(-7.1970526E-6,402.2569,-90.69592)
(-4.368485E-6,256.8173,-272.6236)
(1.1861208E-6,426.1557,-50.267086)
(-1.7111888E-5,269.98364,-260.12256)
(7.0780816E-6,428.1922,-28.049587)
(9.58913E-6,255.01505,-274.81317)
(-3.0615843E-6,427.06284,-10.021987)
(-5.5173587E-7,258.07077,-266.51395)
(-5.290909E-6,418.67407,-4.4749336)
(-9.009091E-7,247.433,-276.4184)
(-4.134216E-7,418.43237,14.910227)
(-6.2714385E-6,256.50195,-278.2292)
(6.248241E-6,390.2973,-2.4521463)
(-1.6161011E-5,256.14597,-278.55692)
(7.884455E-7,383.37183,9.056015)
(2.5770714E-6,242.57141,-282.77557)
(6.213639E-7,382.43115,28.327747)
(1.0462827E-7,289.32324,-234.72328)
(2.9745245E-6,376.85733,-20.69609)
(1.0328185E-5,264.28195,-257.57233)
(9.061591E-6,389.94556,-44.775143)
(9.527139E-6,277.48578,-243.28993)
(9.527139E-6,277.48578,-243.28993)
(-2.8071101E-6,391.8023,-23.520718)
(-3.989721E-6,398.7459,-52.81449)
(9.527139E-6,277.48578,-243.28993)
(7.083012E-6,395.03772,75.71522)
(9.527139E-6,277.48578,-243.28993)
(9.831004E-6,388.776,60.68944)
(9.527139E-6,277.48578,-243.28993)
(-1.42454965E-5,398.99316,113.89792)
(9.527139E-6,277.48578,-243.28993)
(-2.42478E-6,358.99017,-28.914787)
(9.527139E-6,277.48578,-243.28993)
(1.5144334E-5,350.17972,-84.16796)
(9.527139E-6,277.48578,-243.28993)
(6.928023E-6,236.96376,-178.12209)
(2.8454451E-6,292.0979,-211.70335)
(-1.7159541E-6,184.4562,-232.06728)
(-3.3211381E-6,323.17987,-150.20792)
(2.4437035E-5,292.59668,-89.50495)
(-5.9272734E-6,236.1324,-266.9254)
(-1.151419E-5,353.15625,-113.19374)
(-5.9272734E-6,236.1324,-266.9254)
(-5.3173353E-6,329.32178,-170.52646)
(-5.9272734E-6,236.1324,-266.9254)
(5.689458E-6,295.4413,-167.4939)
(-5.9272734E-6,236.1324,-266.9254)
(-5.9272734E-6,236.1324,-266.9254)
(2.752659E-6,374.99423,-161.0717)
(-1.2058408E-5,331.90546,-262.6293)
(1.2429452E-5,395.92596,-99.03195)
(-1.5861058E-5,287.72968,-310.39816)
(-1.9787287E-5,283.74683,-267.0312)
(2.5405461E-6,306.16443,-284.1927)
(1.1414681E-5,465.6647,-5.322829)
(9.584255E-8,329.2808,-257.05316)
(3.3888325E-6,464.4473,34.06578)
(-3.0968295E-7,348.8812,-188.39857)
(7.201779E-6,331.03934,-218.23177)
(1.2647815E-5,385.47723,-53.082317)
(5.459005E-6,268.22705,-242.0001)
(-7.5665776E-6,380.43594,-112.25161)
(-2.0792504E-6,230.56703,-278.11624)
(-3.8299277E-7,263.198,-180.12782)
(-2.1142891E-6,369.38773,-144.51529)
(7.1661448E-6,400.92957,-106.640366)
(9.0212774E-7,267.07504,-174.32764)
(-2.4782717E-6,406.48672,-82.977806)
(-1.2835407E-5,220.93056,-265.62277)
(-1.6280079E-6,204.98868,-278.11044)
(7.9733576E-7,194.78497,51.118587)
(4.716744E-6,205.55875,32.041523)
(3.7840846E-6,300.2425,-163.224)
(-1.9352954E-6,305.13617,-153.88159)
(-1.4590114E-7,254.94595,-226.79294)
(3.453356E-6,227.1449,-254.63249)
(3.8681355E-6,207.53261,14.534362)
(4.907451E-6,72.512184,-342.85587)
(1.3078922E-5,222.06711,10.113278)
(2.254487E-6,236.20573,-258.87256)
(-9.653524E-6,254.71187,12.208168)
(1.6857665E-6,163.62445,-287.88382)
(-6.9627504E-6,161.39386,-289.14026)
(-5.725925E-6,252.4278,36.157475)
(1.7004969E-6,153.36778,-291.68436)
(1.916871E-6,153.01726,-291.8684)
(-2.0372474E-6,298.34332,30.078812)
(-7.5449634E-7,153.48512,-291.6987)
(-1.760024E-5,268.6247,69.41314)
(-2.7623162E-6,153.41333,-291.7365)
(2.1345386E-6,151.86919,-291.30084)
(-9.179795E-6,268.73865,68.9706)
(3.0095748E-6,152.4423,-291.00137)
(-6.570076E-7,152.81953,-291.355)
(1.214939E-5,214.43144,67.83237)
(1.2875552E-6,153.24661,-291.13055)
(1.2875552E-6,153.24661,-291.13055)
(-4.2427696E-6,171.41014,84.63616)
(1.2875552E-6,153.24661,-291.13055)
(-1.8191507E-6,152.30324,-291.40997)
(-9.4570505E-6,133.98668,136.3535)
(-3.561022E-6,152.17941,-291.47458)
(-5.6312438E-6,152.7807,-292.2047)
(-2.3030732E-6,153.04413,-292.06683)
(-7.519787E-6,109.38852,72.79199)
(6.379696E-7,151.46379,-290.51328)
(-2.1452165E-6,151.87688,-290.2975)
(-2.2832592E-6,90.58462,95.178535)
(1.3712327E-6,152.02534,-292.4374)
(2.038397E-6,152.00934,-292.44568)
(-8.4278327E-7,151.93956,-296.6369)
(1.6795501E-6,152.01262,-296.5995)
(-1.0730729E-6,151.91205,-297.0441)
(8.613671E-6,107.66368,75.3197)
(-1.1300307E-6,152.81593,-296.5801)
(-2.576711E-6,152.04485,-296.98654)
(-3.0899776E-6,152.1109,-296.9527)
(4.249005E-6,151.6252,-296.73578)
(-5.5221517E-6,90.16756,59.317)
(2.1125936E-6,151.11792,-296.99442)
(2.509506E-6,152.12961,-297.3243)
(3.7636778E-6,152.73315,-297.01477)
(3.892163E-6,152.74313,-296.85516)
(2.9069085E-6,99.47206,41.880814)
(-1.1443125E-6,153.08266,-296.68024)
(6.426709E-6,153.63194,-295.87668)
(2.733369E-6,153.04741,-296.17944)
(-3.8643975E-7,153.01535,-296.33533)
(-4.321556E-6,101.65419,36.26456)
(-4.2863935E-6,152.51949,-296.5908)
(-1.9275762E-6,151.74788,-298.12433)
(1.7832552E-6,152.05591,-297.9674)
(-3.2148562E-6,104.30051,27.750698)
(-7.137015E-7,152.15666,-297.47488)
(2.324732E-6,151.83977,-297.63678)
(-2.964927E-6,107.05795,13.685278)
(-3.780701E-6,152.15042,-297.81064)
(1.4563909E-6,105.080086,-24.634697)
(2.2327242E-7,152.85693,-297.4487)
(4.1200838E-6,154.81247,-295.99463)
(2.8595625E-6,104.78949,25.842875)
(-3.5396624E-7,156.92789,-294.87848)
(2.3143364E-6,156.39264,-293.74335)
(8.179375E-6,106.19529,19.267805)
(-2.8696377E-6,157.49168,-293.15558)
(-1.9046973E-6,182.77296,-281.18735)
(-2.1622316E-6,106.91994,14.724832)
(6.878025E-7,180.8315,-282.43985)
(3.3605565E-6,188.37624,-278.0349)
(3.0890355E-6,107.385185,10.821977)
(7.805619E-7,188.26445,-278.11072)
(3.6805307E-6,107.04571,13.78057)
(-5.8364776E-7,188.20839,-277.645)
(-9.143844E-7,188.13611,-277.6939)
(6.951227E-6,108.28591,35.461624)
(-6.0880084E-6,187.2487,-277.86154)
(-2.326908E-6,184.817,-279.4848)
(-4.3354157E-6,112.02498,20.827078)
(-3.895436E-6,189.07869,-277.5844)
(-1.280564E-6,114.6474,22.789804)
(2.1610151E-6,188.23996,-278.15387)
(2.8298177E-6,132.28378,18.637384)
(-3.062896E-6,187.00482,-279.55215)
(2.6652353E-6,186.87953,-279.6359)
(-1.428416E-6,133.15025,10.833271)
(4.4628196E-6,187.6061,-278.23383)
(1.7211322E-6,128.48769,-0.18264453)
(4.0199382E-7,187.21185,-278.4993)
(5.687798E-7,187.70345,-278.2811)
(-8.366158E-6,129.2066,19.85286)
(1.3540927E-6,188.07413,-278.48425)
(-5.9790523E-6,187.56525,-278.82727)
(3.8786925E-6,119.714836,-52.505695)
(-5.9790523E-6,187.56525,-278.82727)
(-5.9790523E-6,187.56525,-278.82727)
(2.6583439E-6,83.35481,85.81614)
(2.8077793E-6,189.84267,-278.15372)
(5.2270025E-6,85.21954,83.96467)
(1.6029651E-6,189.51228,-278.37897)
(2.8097184E-6,189.48367,-278.39838)
(3.1234001E-6,188.82521,-278.44324)
(1.3752492E-6,119.58271,3.5226903)
(-3.3941437E-6,189.24023,-278.16132)
(8.309848E-7,100.515625,64.87716)
(2.1322442E-6,189.30966,-277.58392)
(-1.8257053E-6,190.23404,-276.5214)
(4.2499732E-6,110.150505,46.68303)
(-6.066472E-7,189.6924,-276.8932)
(-5.8939236E-7,118.639,15.401999)
(5.6337285E-7,189.83646,-276.79456)
(3.6015101E-6,188.853,-277.78378)
(-1.4515308E-7,189.37344,-277.52487)
(8.4412495E-6,154.1134,-26.391848)
(1.2003932E-6,189.04242,-277.7504)
(-2.4181531E-6,139.06868,71.46578)
(-2.697334E-6,142.60483,65.08284)
(9.808326E-7,188.96516,-277.80292)
(2.9105286E-6,187.49228,-279.9909)
(8.303175E-6,213.17613,-30.476198)
(-3.4326647E-6,201.97697,-74.68701)
(-5.111575E-6,188.77502,-277.92792)
(-1.5205469E-5,260.5183,19.703451)
(2.6234013E-6,187.96127,-278.47897)
(-3.795203E-6,190.73763,-276.60236)
(-4.0219006E-6,190.59015,-276.70398)
(1.8001496E-6,259.71216,28.418013)
(-1.6320445E-6,190.10748,-276.20636)
(-7.4103014E-7,314.8899,10.878724)
(1.5190426E-6,282.0837,33.92234)
(-7.973436E-6,189.4984,-276.62463)
(-9.769063E-7,190.37485,-277.2862)
(-3.1132504E-6,283.1502,23.406631)
(-1.4462785E-6,190.22241,-277.39084)
(3.854366E-6,190.34479,-277.3069)
(-7.986472E-8,291.83713,35.311783)
(2.1018147E-6,191.47437,-278.10727)
(3.9069937E-6,190.8989,-278.01086)
(2.7131669E-6,284.1566,18.08355)
(3.415191E-6,191.19342,-277.8084)
(-1.3317332E-6,190.19354,-277.46576)
(3.1117268E-6,190.11569,-277.5191)
(4.373192E-6,282.85977,32.593987)
(2.68408E-6,190.86421,-276.873)
(5.273252E-6,291.71167,11.744209)
(7.943117E-6,191.44142,-276.47415)
(-1.7548176E-6,191.82138,-275.93414)
(-1.1825244E-5,286.15176,13.960324)
(8.21068E-6,191.02705,-276.48468)
(9.894848E-7,192.2062,-276.51675)
(-9.647687E-7,285.8374,19.357416)
(-9.925861E-7,288.9979,17.689787)
(4.056701E-6,192.23973,-276.49344)
(-5.1525376E-7,282.72095,17.449518)
(3.502243E-6,192.0686,-279.01022)
(-2.5899026E-6,192.4717,-278.73218)
(-4.254649E-6,283.07983,10.07226)
(-3.5431963E-6,193.27559,-277.1755)
(-3.4130044E-6,192.97948,-277.38177)
(-4.9509968E-6,283.2177,7.172851)
(-3.2978733E-6,191.78639,-277.70367)
(-6.8273175E-6,282.99936,13.232456)
(5.7995476E-6,191.98083,-277.56943)
(-1.2027776E-6,192.27477,-276.66928)
(2.4255426E-6,287.27023,21.443258)
(-4.735954E-6,192.21707,-276.70938)
(2.0809732E-6,194.9423,-277.84406)
(4.150884E-6,279.73996,11.937544)
(3.9930524E-6,194.85864,-277.90274)
(3.8887663E-7,190.7727,-278.80566)
(3.3909782E-6,191.16096,-278.5396)
(9.1165E-6,279.618,14.514719)
(-7.4503525E-8,190.76605,-271.35754)
(-5.8980772E-6,284.04105,11.5991745)
(-6.782676E-7,190.8064,-271.32916)
(-6.782676E-7,190.8064,-271.32916)
(-2.882149E-6,287.1172,9.638253)
(-6.782676E-7,190.8064,-271.32916)
(-4.6848845E-6,191.55927,-271.944)
(4.283265E-8,191.9349,-271.67908)
(2.4808674E-6,287.00244,12.600311)
(4.3255222E-6,193.96036,-273.47083)
(2.3474092E-6,193.42107,-273.85257)
(-1.2119112E-5,287.0842,15.365287)
(-1.1780008E-6,199.74881,-279.70898)
(4.525565E-6,198.85266,-280.34677)
(4.854528E-6,191.05707,-273.13214)
(1.134353E-6,287.69687,12.544314)
(6.7061374E-6,191.47617,-272.8385)
(-8.2890565E-6,287.80637,9.714175)
(-1.5992327E-7,191.76392,-271.7632)
(5.077562E-6,192.09627,-271.52838)
(7.1492686E-6,280.1349,19.395578)
(-7.5570642E-6,191.88611,-271.65567)
(4.5691104E-6,191.95695,-271.60565)
(-5.623814E-6,280.1863,18.637512)
(-2.5553902E-7,192.93813,-272.21887)
(-4.6506614E-7,283.9086,28.256638)
(-4.640008E-6,193.55785,-271.77853)
(2.3886355E-6,283.34497,12.829816)
(1.6544753E-6,192.33885,-272.9987)
(-3.8002217E-6,192.82198,-272.65765)
(-2.3265989E-6,283.47073,9.658954)
(-2.9053874E-6,191.77663,-274.74695)
(6.384812E-6,192.03728,-274.56485)
(3.0324406E-6,287.51,8.973568)
(3.9763836E-6,190.82314,-272.45602)
(-1.0290204E-5,282.6265,10.945373)
(7.6159836E-7,190.6988,-272.543)
(4.0287296E-6,190.92871,-271.8171)
(-3.081436E-6,282.72574,7.9811354)
(3.911655E-6,191.26529,-271.5803)
(8.615164E-6,192.1209,-273.60413)
(2.0124787E-7,283.53445,18.170439)
(5.314381E-6,192.05927,-273.64746)
(2.4449678E-6,281.32556,12.39253)
(-9.576036E-7,191.7332,-273.22406)
(-1.7404233E-6,191.50294,-273.38556)
(-8.508042E-6,281.446,9.261337)
(-5.4708516E-6,190.92683,-273.7991)
(6.789412E-6,190.90385,-273.8151)
(-1.1082861E-5,281.73474,19.442068)
(4.298985E-6,281.7917,18.598072)
(3.3355716E-9,191.20396,-274.27628)
(3.343829E-6,290.36496,13.624744)
(1.227693E-5,290.03903,19.3613)
(2.4578844E-6,191.27228,-274.22867)
(-8.949573E-6,290.4184,12.435265)
(-5.80161E-7,191.977,-272.77365)
(-2.1699661E-6,277.82245,25.6874)
(-8.061775E-6,191.71367,-272.95874)
(-5.9380795E-7,281.25388,20.378899)
(-1.2768929E-6,193.20023,-272.56122)
(2.4693302E-6,281.27777,20.04703)
(4.1609655E-6,279.8706,8.329849)
(3.0420597E-6,279.61957,14.485089)
(4.966754E-6,279.63397,14.204573)
(-1.4471814E-5,285.71085,13.183975)
(1.0045792E-5,285.44446,18.054863)
(2.635583E-6,283.532,5.0725102)
(1.5900463E-6,192.32538,-273.17926)
(-3.067418E-6,288.57526,10.2959795)
(6.473639E-6,288.6311,8.587864)
(5.1361058E-6,300.58936,22.967573)
(1.3882981E-6,287.16577,8.266758)
(-6.0020197E-6,287.0117,12.52368)
(-2.3168332E-6,278.75195,22.333067)
(6.0540515E-8,191.61342,-272.5345)
(-2.2991014E-6,299.9835,14.518773)
(-2.2289623E-6,299.97192,14.754356)
(5.3389726E-7,293.88254,19.265379)
(5.3389726E-7,293.88254,19.265379)
(1.1011626E-6,191.12874,-272.87463)
(6.4352985E-6,297.20706,27.35371)
(-6.0812295E-6,292.9661,10.010045)
(-5.6566532E-6,192.40352,-273.76364)
(-6.0812295E-6,292.9661,10.010045)
(-3.768297E-6,192.41083,-273.75845)
(3.5470453E-6,191.65768,-273.67953)
(-3.9930285E-7,292.059,9.984165)
(-1.4927059E-6,191.08435,-274.08014)
(5.186873E-6,289.04706,20.019972)
(-6.2483623E-6,189.57162,-272.69925)
(-7.8062044E-7,190.42627,-272.10312)
(5.186873E-6,289.04706,20.019972)
(2.7596184E-6,295.41968,16.28527)
(-2.4558522E-6,292.1525,20.08148)
(-2.4558522E-6,292.1525,20.08148)
(1.0173829E-6,289.9588,19.3876)
(1.097112E-7,191.23973,-274.97513)
(-3.8116957E-6,190.91228,-275.2026)
(1.0173829E-6,289.9588,19.3876)
(3.3727308E-6,191.71619,-275.94858)
(3.12074E-6,292.43088,23.896584)
(-8.883409E-6,293.3062,23.691952)
(1.5055751E-6,191.35547,-276.1988)
(-8.883409E-6,293.3062,23.691952)
(-8.051194E-7,291.547,11.702453)
(-9.14973E-6,192.7078,-276.3953)
(3.3611354E-6,299.38394,26.620667)
(3.3611354E-6,299.38394,26.620667)
(2.79654E-6,291.81113,15.890115)
(-5.899358E-6,292.08582,19.744476)
(-4.6359784E-7,192.79575,-276.33392)
(-5.899358E-6,292.08582,19.744476)
(-9.972231E-6,298.82806,11.403401)
(-9.972231E-6,298.82806,11.403401)
(-5.8107394E-6,298.8609,18.230074)
(7.962165E-6,288.99173,27.86835)
(7.962165E-6,288.99173,27.86835)
(3.5803434E-6,295.7454,19.245268)
(-2.0912141E-6,298.4528,15.036565)
(-2.0912141E-6,298.4528,15.036565)
(4.5739682E-7,295.45224,15.681957)
(-2.388084E-6,292.1239,20.492727)
(-1.0465827E-5,191.82864,-277.33807)
(-2.388084E-6,292.1239,20.492727)
(-4.1099483E-6,295.48236,15.10418)
(2.5735687E-7,301.1216,20.195938)
(2.5735687E-7,301.1216,20.195938)
(-1.3130018E-5,296.6278,20.075226)
(-1.3130018E-5,296.6278,20.075226)
(-3.6593983E-6,191.25491,-277.734)
(3.994579E-6,293.3255,23.452114)
(-1.4549914E-6,190.1921,-276.5932)
